Substation,Feeder,Load_Name,Phases,kW,kvar,Yearly_Type,Yearly_Number
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1359,1,3.9060227283575606,0.8578020352767629,res,278
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1359_2,1,3.9060227283575606,0.8578020352767629,res,278
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1360,1,4.278318909946325,1.3258964507916957,res,1246
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1360_2,1,4.278318909946325,1.3258964507916957,res,1246
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1361,1,5.6593015111322105,1.2761251920573724,res,324
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1361_2,1,5.6593015111322105,1.2761251920573724,res,324
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1362,1,2.40000228705824,1.0173787262529668,res,1205
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1362_2,1,2.40000228705824,1.0173787262529668,res,1205
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1363,1,5.436729579526792,1.2488470964899614,res,454
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1363_2,1,5.436729579526792,1.2488470964899614,res,454
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1364,1,5.020630418662337,1.4660260271132275,res,664
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1364_2,1,5.020630418662337,1.4660260271132275,res,664
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1365,1,3.2243036213034695,0.7302943484265993,res,35
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1365_2,1,3.2243036213034695,0.7302943484265993,res,35
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1367,1,4.817618468644212,1.1350426223715635,res,843
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1367_2,1,4.817618468644212,1.1350426223715635,res,843
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1368,1,7.195337616187572,1.3536865792954904,res,462
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1368_2,1,7.195337616187572,1.3536865792954904,res,462
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1372,1,9.358521499301396,0.9436008203397507,com,12824
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1372_2,1,9.358521499301396,0.9436008203397507,com,12824
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1373,3,35.575751352084666,8.679058106481836,com,13354
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1861,3,41.27726434904335,10.826959957077602,com,13682
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1862,1,1.8801200674575587,0.53962653273889,com,13578
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1862_2,1,1.8801200674575587,0.53962653273889,com,13578
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1863,1,3.469755020859998,0.8941520384931253,res,4
rhs0_1247,rhs0_1247--rdt1527,load_p1rlv1863_2,1,3.469755020859998,0.8941520384931253,res,4
